forecast_date,target_date,horizon,y_true,crps,pinball_mean,model,year,regime,split,q05,q10,q25,q50,q75,q90,q95
2024-02-20,2024-04-20,60,54.40958333333333,52.06568918980773,26.032844594903853,Naive-Gaussian,2024,Post-Crisis (2023–2025),test,-226.4904838141528,-153.66729552516358,-31.982940883776777,103.21721153846154,238.41736396069984,360.10171860208663,432.92490689107564
2024-02-20,2024-05-20,90,24.7675,71.50852074879371,35.75426037439686,Naive-Gaussian,2024,Post-Crisis (2023–2025),test,-287.57066987563746,-198.38084350031392,-49.34855422468007,116.23713906581742,281.8228323563149,430.85512163194875,520.0449480072721
2024-02-20,2024-08-18,180,9.661666666666669,90.71186883520438,45.35593441760221,Naive-Gaussian,2024,Post-Crisis (2023–2025),test,-474.1023881712666,-347.96892608558255,-137.20544136047084,96.96809182590233,331.1416250122755,541.9051097373872,668.038571823071
2024-02-20,2025-02-14,360,153.53083333333333,117.1406513917031,58.57032569585154,Naive-Gaussian,2025,Post-Crisis (2023–2025),holdout,-693.7087081606876,-515.3290554100404,-217.26447685877275,113.90690972222222,445.0782963032172,743.142874854485,921.5225276051315
2024-03-21,2024-03-22,1,53.58958333333334,11.023641568562264,5.51182078428113,Naive-Gaussian,2024,Post-Crisis (2023–2025),test,29.130678189404478,38.53654531072085,54.2533368628572,71.71583333333334,89.17832980380948,104.89512135594583,114.30098847726217
2024-03-21,2024-03-28,7,52.069583333333334,18.41839040668602,9.209195203343013,Naive-Gaussian,2024,Post-Crisis (2023–2025),test,-40.95389672060543,-16.068311452683332,25.51441040211033,71.71583333333334,117.91725626455634,159.49997811935,184.38556338727204
2024-03-21,2024-04-04,14,60.6525,35.837672121566655,17.91883606078333,Naive-Gaussian,2024,Post-Crisis (2023–2025),test,-42.0334127528093,-6.83988055932177,51.96696864811551,117.30564755838641,182.6443264686573,241.45117567609458,276.644707869582
2024-03-21,2024-04-20,30,54.40958333333333,40.280472337879196,20.14023616893959,Naive-Gaussian,2024,Post-Crisis (2023–2025),test,-129.61193302998964,-78.09387707757809,7.990535569539091,103.63656784188034,199.28260011422157,285.36701276133874,336.8850687137502
2024-03-21,2024-05-20,60,24.7675,64.16920269286096,32.08460134643047,Naive-Gaussian,2024,Post-Crisis (2023–2025),test,-212.72245882764418,-139.86492539264782,-18.12318151817273,117.140734508547,252.40465053526674,374.1463944097418,447.003927844738
2024-03-21,2024-06-19,90,43.71208333333333,66.77910466634624,33.38955233317312,Naive-Gaussian,2024,Post-Crisis (2023–2025),test,-286.6705526008385,-197.4386621840855,-48.33608573955375,117.32770169851379,282.9914891365813,432.0940655811131,521.3259559978659
2024-03-21,2024-09-17,180,29.52333333333333,91.87527194018473,45.9376359700924,Naive-Gaussian,2024,Post-Crisis (2023–2025),test,-449.1238045665574,-322.9308549429955,-112.0679691503675,122.2160058386412,356.4999808276499,567.3628666202778,693.5558162438396
2024-03-21,2025-03-16,360,41.11291666666667,118.551998086518,59.27599904325901,Naive-Gaussian,2025,Post-Crisis (2023–2025),holdout,-710.1698446029782,-531.7060637694722,-233.50091088040858,97.82666399572649,429.1542388718616,727.3593917609251,905.8231725944307
2024-04-20,2024-04-21,1,56.58083333333334,6.210506868396476,3.105253434198238,Naive-Gaussian,2024,Post-Crisis (2023–2025),test,11.62700950895308,21.07648088319081,36.86613323009628,54.40958333333333,71.95303343657038,87.74268578347585,97.19215715771355
2024-04-20,2024-04-27,7,61.380833333333335,16.51939878463098,8.259699392315488,Naive-Gaussian,2024,Post-Crisis (2023–2025),test,-58.782467453238354,-33.781516175981565,7.993977222097662,54.40958333333333,100.82518944456899,142.6006828426482,167.60163411990496
2024-04-20,2024-05-04,14,28.394583333333333,45.06212005215999,22.531060026079995,Naive-Gaussian,2024,Post-Crisis (2023–2025),test,-56.864049723389144,-21.50736535486365,37.57210398352768,103.21368365180467,168.85526332008166,227.934732658473,263.2914170269984
2024-04-20,2024-05-20,30,24.7675,57.17906101934102,28.58953050967051,Naive-Gaussian,2024,Post-Crisis (2023–2025),test,-116.70206980375607,-64.94518352206262,21.5383041335825,117.6277377136752,213.7171712937679,300.200658949413,351.95754523110634
